what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1308210134812
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1308210134812
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1308210134812
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1308210134812
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1308210134812
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1308210134812
os,sysinfo,,,"win32",1308210134812
arch,sysinfo,,,"x86",1308210134812
ws,sysinfo,,,"win32",1308210134812
locale,sysinfo,,,"zh_CN",1308210134812
processors,sysinfo,,,"2",1308210134812
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1308210134812
java.runtime.version,sysinfo,,,"1.5.0_04-b05",1308210134812
java.specification.name,sysinfo,,,"Java Platform API Specification",1308210134812
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308210134812
java.specification.version,sysinfo,,,"1.5",1308210134812
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1308210134812
java.version,sysinfo,,,"1.5.0_04",1308210134812
java.vm.info,sysinfo,,,"mixed mode",1308210134812
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1308210134812
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308210134812
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308210134812
java.vm.specification.version,sysinfo,,,"1.0",1308210134812
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1308210134812
java.vm.version,sysinfo,,,"1.5.0_04-b05",1308210134812
